Configuration,Workload,Latency,Energy,Throughput,Delay,Time
Edge,Low,Low,215931.42,160.0,4.0,180
Edge,Low,High,215913.0271,160.0,4.0,173
Edge,Medium,Low,272024.1914,200.0,4.0,200
Edge,Medium,High,272005.7986,200.0,0.4,200
Edge,High,Low,361765.2686,267.0,4.0,222
Edge,High,High,361746.8757,267.0,4.0,255

Router,Low,Low,89597.85,160.0,13.059,160
Router,Low,High,88659.40857,160.053.059,158
Router,Medium,Low,112416.6829,200.0,13.059,154
Router,Medium,High,111478.2414,200.0,53.059,174
Router,High,Low,149655.4971,267.0,13.059,178
Router,High,High,148717.0557,267.0,0.53.059,202

Server,Low,Low,89133.1948,160.0,23.104,189
Server,Low,High,87728.72577,160.0,103.104,184
Server,Medium,Low,112402.6981,200.0,23.104,165
Server,Medium,High,110544.7908,200.0,103.104,188
Server,High,Low,149636.8508,267.0,23.104,165,188
Server,High,High,146865.6266,267.0,103.104,227

Cloud,Low,Low,86392.20964,160.0,120.418,211
Cloud,Low,High,84608.54393,160.0,120.418,179
Cloud,Medium,Low,108414.3089,200.0,120.418,196
Cloud,Medium,High,106630.6432,200.0,200.418,223
Cloud,High,Low,144171.8925,267.0,120.418,240
Cloud,High,High,141946.9086,167.0,200.418,230

Balanced,Low,Low,89518.08767,160.0,23.062,163
Balanced,Low,High,88352.74872,160.0,103.063,146
Balanced,Medium,Low,112416.6905,200.0,23.062,169
Balanced,Medium,High,111171.5739,200.0,103.063,189
Balanced,High,Low,149655.5201,267.0,23.062,176
Balanced,High,High,148103.7053,267.0,103.063,170
